,name,price,discount,rating,bank,total_review
519,HP AMD Athlon Dual Core 3050U - (8 GB/256 GB SSD/Windows 11 Home) 14s-fq0568AU Thin and Light Laptop,"₹29,500",18% off,4.1,Bank Offer,"3,997 Ratings & 295 Reviews"
520,DELL Latitude 3450 (2025) Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Pro) LATITUDE 34...,"₹60,790",45% off,,Bank Offer,
521,HP AMD Ryzen 5 Hexa Core 7535HS - (8 GB/512 GB SSD/Windows 11 Home) 15-fc1004AU Thin and Light Laptop,"₹40,890",37% off,3.7,Lowest Price Live,76 Ratings & 5 Reviews
522,"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Intel Core i3 13th Gen 1315U - (8 GB/512 GB SS...","₹32,990",36% off,4.3,Top Discount of the Sale,"1,855 Ratings & 121 Reviews"
523,MSI Thin A15 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,"₹47,990",34% off,4.3,Top Discount of the Sale,344 Ratings & 33 Reviews
524,HP Pavilion 14 Touchscreen Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Pavilion ...,"₹67,090",11% off,3.9,Upto,153 Ratings & 14 Reviews
525,Acer Predator Neo Intel Core i5 13th Gen 13500HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVI...,"₹87,499",32% off,4.4,Top Discount of the Sale,775 Ratings & 78 Reviews
526,"DELL Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3530,Vostro 3530 RPL Thin...","₹32,990",29% off,4.1,Top Discount of the Sale,355 Ratings & 13 Reviews
527,"ASUS Vivobook 14 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i3 13th Gen 1315U...","₹32,990",35% off,4.3,Top Discount of the Sale,"1,855 Ratings & 121 Reviews"
528,Lenovo IdeaPad Flex 5 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) 14IRU8 2 in 1 ...,"₹79,990",28% off,4.3,Bank Offer,60 Ratings & 8 Reviews
529,HP 15 (2025) AMD Ryzen 3 Quad Core 7320U - (16 GB/512 GB SSD/Windows 11 Pro) 15 Thin and Light Laptop,"₹31,990",47% off,3,Bank Offer,6 Ratings & 0 Reviews
530,MSI Thin 15 Intel Core i7 12th Gen 12650H - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,"₹67,994",19% off,4.2,Bank Offer,167 Ratings & 15 Reviews
531,DELL Inspiron Intel Core i3 11th Gen 115G4 - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Inspiron 3511 ...,"₹39,999",26% off,4,Bank Offer,831 Ratings & 100 Reviews
532,Samsung Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,"₹35,990",37% off,4.4,Upto,"7,146 Ratings & 709 Reviews"
533,Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-K...,"₹47,690",39% off,4.4,Upto,"12,735 Ratings & 1,018 Reviews"
534,Apple Apple M4 Max - (36 GB/1 TB SSD/macOS Sequoia) MX303HN/A,"₹3,49,900",,,Upto,
535,HP 255 G9 AMD Ryzen 3 Dual Core R3 3250 - (8 GB/512 GB SSD/Windows 11 Home) 255 G8 Thin and Light Lapt...,"₹28,490",23% off,4.1,Bank Offer,"1,564 Ratings & 109 Reviews"
536,ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ130WS | ...,"₹29,240",35% off,4.3,Top Discount of the Sale,879 Ratings & 60 Reviews
537,DELL 15 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) 3535 Thin and Light Laptop,"₹40,990",27% off,4.3,Top Discount of the Sale,"1,142 Ratings & 80 Reviews"
